id_producto,name,price,color,tipo,id_categoria,id_fabricante,id_color,id_memoria
1,NZXT Hue,29.95,,CASE-ACCESSORY,1,1,,1
2,Corsair iCUE SP120 RGB ELITE 3-Pack,69.98,BLACK / WHITE,CASE-FAN,2,2,1.0,1
3,Lian Li Uni Fan SL-Infinity 3-Pack,84.99,BLACK,CASE-FAN,2,3,2.0,1
4,Noctua NF-A12x25 PWM chromax.black.swap,34.95,BLACK,CASE-FAN,2,4,2.0,1
5,Lian Li Uni Fan SL-Infinity 3-Pack,69.45,WHITE,CASE-FAN,2,3,3.0,1
6,ARCTIC P12 PST 5-Pack,29.99,BLACK,CASE-FAN,2,5,2.0,1
7,Corsair iCUE LINK QX120 RGB Starter Kit 3-Pack,149.99,BLACK,CASE-FAN,2,2,2.0,1
8,Lian Li UNI FAN SL V2 3-Pack,82.99,WHITE / SILVER,CASE-FAN,2,3,4.0,1
9,Lian Li UNI FAN SL V2 3-Pack,79.98,BLACK / SILVER,CASE-FAN,2,3,5.0,1
10,Thermalright TL-C12C-S 3-Pack,13.9,BLACK,CASE-FAN,2,6,2.0,1
11,Lian Li Uni Fan SL-Infinity,29.99,BLACK,CASE-FAN,2,3,2.0,1
12,Lian Li Uni Fan SL-Infinity,26.99,WHITE,CASE-FAN,2,3,3.0,1
13,Noctua A14 PWM chromax.black.swap,26.95,MULTICOLOR,CASE-FAN,2,4,6.0,1
14,Corsair iCUE LINK QX120 RGB Starter Kit 3-Pack,156.99,WHITE,CASE-FAN,2,2,3.0,1
15,be quiet! Silent Wings Pro 4,30.9,BLACK,CASE-FAN,2,7,2.0,1
16,Noctua A12x25 PWM,32.95,BROWN,CASE-FAN,2,4,7.0,1
17,Thermalright TL-C12C 3-Pack,12.9,BLACK,CASE-FAN,2,6,2.0,1
18,NZXT F120 RGB 3-Pack,77.33,BLACK,CASE-FAN,2,1,2.0,1
19,ARCTIC P12,9.14,BLACK,CASE-FAN,2,5,2.0,1
20,Lian Li UNI FAN SL-INF Reverse Blade,33.68,WHITE / BLACK,CASE-FAN,2,3,8.0,1
21,Corsair iCUE SP RGB ELITE 3-Pack,64.98,WHITE,CASE-FAN,2,2,3.0,1
22,NZXT F120 RGB 3-Pack,77.33,WHITE,CASE-FAN,2,1,3.0,1
23,Corsair iCUE SP120 RGB ELITE,19.98,BLACK / WHITE,CASE-FAN,2,2,1.0,1
24,Noctua P12 redux-1700 PWM,15.95,GRAY,CASE-FAN,2,4,9.0,1
25,be quiet! Pure Wings 2,10.9,BLACK,CASE-FAN,2,7,2.0,1
26,Thermalright TL-C12C-S 3-Pack,14.59,WHITE,CASE-FAN,2,6,3.0,1
27,ARCTIC P12 Max,9.99,BLACK,CASE-FAN,2,5,2.0,1
28,Corsair iCUE AF120 RGB ELITE 3-Pack,74.98,BLACK,CASE-FAN,2,2,2.0,1
29,Deepcool FC120-3 IN 1 3-Pack,34.99,BLACK,CASE-FAN,2,8,2.0,1
30,Lian Li Uni Fan SL-Infinity,34.99,BLACK,CASE-FAN,2,3,2.0,1
31,Lian Li UNI FAN SL V2,26.99,BLACK / SILVER,CASE-FAN,2,3,5.0,1
32,Noctua A14 PWM,23.95,BROWN,CASE-FAN,2,4,7.0,1
33,ARCTIC P12 PST A-RGB 0dB 3-Pack,41.65,BLACK,CASE-FAN,2,5,2.0,1
34,Corsair LL120 3-Pack,69.99,BLACK,CASE-FAN,2,2,2.0,1
35,Noctua F12 industrialPPC-3000 PWM,27.95,BROWN / BLACK,CASE-FAN,2,4,10.0,1
36,Lian Li Uni Fan SL-Infinity,29.69,WHITE,CASE-FAN,2,3,3.0,1
37,be quiet! Silent Wings Pro 4,31.9,BLACK,CASE-FAN,2,7,2.0,1
38,Lian Li UNI FAN SL V2,24.99,WHITE / SILVER,CASE-FAN,2,3,4.0,1
39,NZXT F120 RGB Core,28.58,BLACK,CASE-FAN,2,1,2.0,1
40,NZXT F120 RGB Core,27.5,WHITE,CASE-FAN,2,1,3.0,1
41,ARCTIC P14 PST,12.71,BLACK,CASE-FAN,2,5,2.0,1
42,Noctua A14 industrialPPC-3000 PWM,29.95,BROWN / BLACK,CASE-FAN,2,4,10.0,1
43,Lian Li UNI FAN SL-INF Reverse Blade,120.0,WHITE,CASE-FAN,2,3,3.0,1
44,Corsair LL120 3-Pack,69.98,WHITE,CASE-FAN,2,2,3.0,1
45,Lian Li UNI SL120 3-Pack,90.27,WHITE,CASE-FAN,2,3,3.0,1
46,Lian Li UNI FAN SL V2,22.0,BLACK / SILVER,CASE-FAN,2,3,5.0,1
47,ARCTIC P12 PST,8.99,WHITE,CASE-FAN,2,5,3.0,1
48,Corsair iCUE ML RGB ELITE Premium 3-Pack,51.99,BLACK,CASE-FAN,2,2,2.0,1
49,Corsair iCUE LINK QX140 RGB Starter Kit 2-Pack,119.99,BLACK,CASE-FAN,2,2,2.0,1
50,Deepcool FC120 WHITE-3 IN 1 3-Pack,40.81,WHITE,CASE-FAN,2,8,3.0,1
51,Lian Li UNI FAN AL120 V2 3-Pack,54.99,BLACK,CASE-FAN,2,3,2.0,1
52,be quiet! Pure Wings 2,12.9,BLACK,CASE-FAN,2,7,2.0,1
53,Cooler Master MasterFan MF Halo 3-Pack,64.98,BLACK,CASE-FAN,2,9,2.0,1
54,Noctua F12 PWM,21.78,BROWN,CASE-FAN,2,4,7.0,1
55,Phanteks D30-120 3-Pack,89.99,BLACK,CASE-FAN,2,10,2.0,1
56,Phanteks D30-120 Reversed 3-Pack,89.99,BLACK,CASE-FAN,2,10,2.0,1
57,be quiet! Light Wings PWM high-speed 3-Pack,79.9,BLACK,CASE-FAN,2,7,2.0,1
58,Fractal Design Silent R2,120.0,WHITE,CASE-FAN,2,11,3.0,1
59,Corsair SP120 ELITE,14.99,BLACK,CASE-FAN,2,2,2.0,1
60,Noctua A12x15 PWM chromax.black.swap,26.95,BLACK / MULTICOLOR,CASE-FAN,2,4,11.0,1
61,ARCTIC P14 PST 5-Pack,41.89,BLACK,CASE-FAN,2,5,2.0,1
62,Corsair iCUE QL120 3-Pack,89.99,BLACK,CASE-FAN,2,2,2.0,1
63,Cooler Master SickleFlow 3-Pack,69.37,BLACK,CASE-FAN,2,9,2.0,1
64,Corsair iCUE AF120 RGB ELITE 3-Pack,89.99,WHITE,CASE-FAN,2,2,3.0,1
65,Lian Li UNI FAN P28 3-Pack,54.9,BLACK,CASE-FAN,2,3,2.0,1
66,NZXT F120 RGB,24.99,WHITE,CASE-FAN,2,1,3.0,1
67,NZXT F120 RGB DUO 3-Pack,93.99,BLACK,CASE-FAN,2,1,2.0,1
68,Phanteks D30-120 Reversed 3-Pack,89.99,WHITE,CASE-FAN,2,10,3.0,1
69,Corsair AF120 ELITE,19.23,BLACK,CASE-FAN,2,2,2.0,1
70,Lian Li UNI SL120 3-Pack,89.54,BLACK,CASE-FAN,2,3,2.0,1
71,Asus TUF Gaming TF120 ARGB 3-Pack,59.99,BLACK / WHITE,CASE-FAN,2,12,1.0,1
72,Noctua F12 PWM chromax.black.swap,24.75,MULTICOLOR,CASE-FAN,2,4,6.0,1
73,ARCTIC P12 Slim PWM PST,9.49,BLACK,CASE-FAN,2,5,2.0,1
74,Phanteks D30-120,33.98,BLACK,CASE-FAN,2,10,2.0,1
75,Corsair LL120,30.99,BLACK,CASE-FAN,2,2,2.0,1
76,Phanteks PH-F120T30 3-Pack,86.98,BLACK / GRAY,CASE-FAN,2,10,12.0,1
77,NZXT F140 RGB 2-Pack,63.99,BLACK,CASE-FAN,2,1,2.0,1
78,Lian Li UNI FAN AL120 V2 3-Pack,54.99,WHITE,CASE-FAN,2,3,3.0,1
79,Deepcool FK120 3-Pack,29.99,,CASE-FAN,2,8,,1
80,Cooler Master SickleFlow,17.44,BLACK,CASE-FAN,2,9,2.0,1
81,NZXT F120 RGB DUO,32.99,BLACK,CASE-FAN,2,1,2.0,1
82,Phanteks PH-F120T30,32.98,BLACK / GRAY,CASE-FAN,2,10,12.0,1
83,ARCTIC P12 PST A-RGB 0dB,15.99,BLACK,CASE-FAN,2,5,2.0,1
84,ARCTIC P Slim PST 3-Pack,21.99,BLACK,CASE-FAN,2,5,2.0,1
85,NZXT F120Q,14.99,BLACK,CASE-FAN,2,1,2.0,1
86,Phanteks D30-120 3-Pack,89.99,WHITE,CASE-FAN,2,10,3.0,1
87,NZXT F120P,18.98,BLACK,CASE-FAN,2,1,2.0,1
88,Noctua S12A PWM chromax.black.swap,22.9,MULTICOLOR,CASE-FAN,2,4,6.0,1
89,Corsair iCUE AF120 RGB SLIM,27.99,BLACK,CASE-FAN,2,2,2.0,1
90,Corsair iCUE SP RGB ELITE,24.99,WHITE,CASE-FAN,2,2,3.0,1
91,ARCTIC P12 5-Pack,24.59,BLACK,CASE-FAN,2,5,2.0,1
92,Phanteks D30-120 Reversed,33.98,BLACK,CASE-FAN,2,10,2.0,1
93,NZXT F120 RGB DUO 3-Pack,99.99,WHITE,CASE-FAN,2,1,3.0,1
94,Lian Li UNI FAN SL V2,25.5,WHITE / SILVER,CASE-FAN,2,3,4.0,1
95,Deepcool FC120,16.98,BLACK,CASE-FAN,2,8,2.0,1
96,Noctua P14s redux-1500 PWM,16.95,BLACK / GRAY,CASE-FAN,2,4,12.0,1
97,Thermalright TL-C12RW-S V2,6.99,BLACK / WHITE,CASE-FAN,2,6,1.0,1
98,Corsair iCUE SP140 RGB ELITE 2-Pack,69.98,BLACK / WHITE,CASE-FAN,2,2,1.0,1
99,ARCTIC P14 PWM PST A-RGB,18.07,BLACK,CASE-FAN,2,5,2.0,1
100,Corsair AF140L,4.99,BLACK / GRAY,CASE-FAN,2,2,12.0,1
101,ARCTIC P12,9.09,BLACK / TRANSPARENT,CASE-FAN,2,5,13.0,1
102,Cooler Master SickleFlow,8.99,BLACK,CASE-FAN,2,9,2.0,1
103,NZXT Aer F,5.99,BLACK,CASE-FAN,2,1,2.0,1
104,Phanteks D30-120,33.98,WHITE,CASE-FAN,2,10,3.0,1
105,Thermalright TL-S12 X3 3-Pack,16.89,BLACK,CASE-FAN,2,6,2.0,1
106,Corsair AF120 (2018) 3-Pack,38.81,BLACK / WHITE,CASE-FAN,2,2,1.0,1
107,NZXT F RGB Core 2-Pack,66.33,BLACK,CASE-FAN,2,1,2.0,1
108,be quiet! Silent Wings 4,21.99,BLACK,CASE-FAN,2,7,2.0,1
109,Thermalright TL-C12C,6.59,BLACK,CASE-FAN,2,6,2.0,1
110,Cooler Master SickleFlow 120 ARGB 3 In 1 3-Pack,49.99,WHITE,CASE-FAN,2,9,3.0,1
111,Noctua A12x15 PWM,21.95,BROWN,CASE-FAN,2,4,7.0,1
112,ARCTIC P14 PST,11.99,WHITE,CASE-FAN,2,5,3.0,1
113,Noctua S12B redux-1200 PWM,14.95,BLACK / GRAY,CASE-FAN,2,4,12.0,1
114,Thermalright TL-S12W X3 3-Pack,16.98,WHITE,CASE-FAN,2,6,3.0,1
